RF01572	6	Dictyostelium snoRNA DdR4
RF01553	6	Trypanosomatid snoRNA TB9Cs1H3
RF01417	6	Retroviral 3'UTR stability element
RF01357	6	CRISPR RNA direct repeat element
RF01339	6	CRISPR RNA direct repeat element
RF01308	6	Small nucleolar RNA sR58
RF01240	6	Small nucleolar RNA snR85
RF01188	6	Small nucleolar RNA snR56
RF01123	6	Small nucleolar RNA sR35
RF01121	6	Small nucleolar RNA sR38
RF00757	6	microRNA mir-275
RF00752	6	microRNA mir-14
RF00532	6	Small nucleolar RNA Me18S-Um1356
RF00521	6	Alpha-proteobacteria SAM riboswitch aptamer
RF00478	6	Small Cajal body specific RNA 6
RF00459	6	Mason-Pfizer monkey virus packaging signal
RF00390	6	UPSK RNA
RF00332	6	Small nucleolar RNA Z266
RF00272	6	Small nucleolar RNA SNORA67
RF00247	6	mir-160 microRNA precursor family
RF00206	6	Small nucleolar RNA U54
RF00100	6	7SK RNA
RF03541	5	Insect-specific Flavivirus exoribonuclease-resistant RNA element
RF03523	5	mir-4703 microRNA precursor family
RF03456	5	mir-724 microRNA precursor family
RF03336	5	mir-1322 microRNA precursor family
RF02878	5	Mesorhizobail RNA 7
RF02174	5	SMAD5 antisense RNA 1 conserved region 2
RF01678	5	Pseudomonas sRNA P37
RF01642	5	Caenorhabditis snoRNA ceN54
RF01549	5	Trypanosomatid snoRNA TB8Cs2H1
RF01502	5	Fungal signal recognition particle RNA
RF01497	5	ALIL pseudoknot
RF01338	5	CRISPR RNA direct repeat element
RF01286	5	Small nucleolar RNA snoR26
RF01163	5	Small nucleolar RNA snoR64a
RF01081	5	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01006	5	microRNA mir-601
RF00829	5	microRNA mir-149
RF00811	5	microRNA mir-84
RF00749	5	microRNA mir-208
RF00736	5	mir-320 microRNA precursor family
RF00732	5	microRNA mir-305
RF00705	5	microRNA mir-202
RF00677	5	microRNA MIR168
RF00648	5	microRNA MIR396
RF00609	5	Small nucleolar RNA SNORD100
RF00268	5	Small nucleolar RNA snoZ7/snoR77
RF00241	5	mir-8/mir-141/mir-200 microRNA precursor family
RF00175	5	Human immunodeficiency virus type 1 dimerisation initiation site
RF00103	5	mir-1 microRNA precursor family
RF00070	5	Small nucleolar RNA SNORD29
RF00066	5	U7 small nuclear RNA
RF04303	4	MIR162_2 microRNA precursor family
RF04175	4	mir-1260b microRNA precursor family
RF04163	4	mir-8364 microRNA precursor family
RF04025	4	mir-7964 microRNA precursor family
RF04001	4	mir-7918 microRNA precursor family
RF03854	4	mir-1949 microRNA precursor family
RF03834	4	mir-3173 microRNA precursor family
RF03811	4	mir-1896 microRNA precursor family
RF03725	4	mir-7094 microRNA precursor family
RF03421	4	mir-2558 microRNA precursor family
RF03416	4	mir-7383 microRNA precursor family
RF03315	4	mir-723 microRNA precursor family
RF03267	4	mir-645 microRNA precursor family
RF03207	4	mir-3960 microRNA precursor family
RF03189	4	mir-1175 microRNA precursor family
RF03165	4	2dG-II purine riboswitch aptamer
RF03072	4	raiA RNA
RF03054	4	Xanthine riboswitch aptamer (NMT1 RNA)
RF03014	4	Transposase-1 RNA
RF02990	4	gut-2 RNA
RF02968	4	DUF3800-IX RNA
RF02926	4	DUF2693-FD RNA
RF02918	4	MDR-NUDIX RNA
RF02851	4	Yersinia sRNA 283
RF02723	4	Small nucleolar RNA ZL1
RF02517	4	mir-1017 microRNA precursor family
RF02475	4	Small nucleolar RNA GlsR6
RF02416	4	Turnip crinkle virus 3'UTR
RF02413	4	Small nucleolar RNA snoR145
RF02406	4	Small nucleolar RNA snoR120
RF02405	4	Pseudomonas sRNA P34
RF02356	4	Alphaproteobacterial sRNA BjrC1505
RF02355	4	Bradyrhizobiaceae sRNA BjrC174
RF02353	4	Bradyrhizobiaceae sRNA BjrC68
RF02237	4	Xanthomonas sRNA asX3
RF02161	4	Prostate androgen-regulated transcript 1 conserved region 3
RF02115	4	FAM13A antisense RNA 1 conserved region 2
RF02108	4	Deleted in lymphocytic leukemia 2 conserved region 4
RF02098	4	DiGeorge syndrome critical region gene 5 conserved region
RF02050	4	Salmonella enterica sRNA STnc470
RF01952	4	SOX2 overlapping transcript exon 2
RF01939	4	microRNA mir-761
RF01897	4	microRNA mir-188
RF01747	4	msiK RNA
RF01697	4	Chlorobi-RRM RNA
RF01691	4	Bacillus-plasmid RNA
RF01679	4	Pseudomonas sRNA P36
RF01559	4	Dictyostelium snoRNA DdR1
RF01419	4	Antisense RNA which regulates isiA expression
RF01388	4	isrD Hfq binding RNA
RF01341	4	CRISPR RNA direct repeat element
RF01326	4	CRISPR RNA direct repeat element
RF01325	4	CRISPR RNA direct repeat element
RF01294	4	Small nucleolar RNA U89
RF01281	4	Small nucleolar RNA snoR35
RF01277	4	Small nucleolar RNA U54
RF01274	4	Small nucleolar RNA sR45
RF01273	4	Small nucleolar RNA sR34
RF01269	4	Small nucleolar RNA snR80
RF01265	4	Small nucleolar RNA snR42
RF01253	4	Small nucleolar RNA snR46
RF01249	4	Small nucleolar RNA snR190
RF01246	4	Small nucleolar RNA snR81
RF01243	4	Small nucleolar RNA snR33
RF01236	4	Small nucleolar RNA U19
RF01223	4	Small nucleolar RNA snR13
RF01177	4	Small nucleolar RNA snR67
RF01165	4	Small nucleolar RNA sn2317
RF01140	4	Small nucleolar RNA sR20
RF01120	4	Small nucleolar RNA sR33
RF01109	4	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01095	4	3'-terminal pseudoknot of CuYV/BPYV
RF01091	4	3'-terminal pseudoknot in SPCSV
RF01079	4	Putative RNA-dependent RNA polymerase ribosomal frameshift site
RF01073	4	Gag/pol translational readthrough site
RF01046	4	Wingless localisation element 3 (WLE3)
RF01009	4	microRNA mir-M7
RF00893	4	microRNA MIR854
RF00712	4	microRNA mir-460
RF00612	4	Small nucleolar RNA SNORD75
RF00588	4	Small nucleolar RNA SNORD41
RF00548	4	U11 spliceosomal RNA
RF00535	4	Small nucleolar RNA Me28S-Am982
RF00522	4	PreQ1 (pre queuosine) riboswitch aptamer
RF00488	4	Yeast U1 spliceosomal RNA
RF00473	4	Small nucleolar RNA snR54
RF00287	4	Small nucleolar RNA SNORD44
RF00195	4	RsmY RNA family
RF00110	4	RybB RNA
RF00073	4	mir-156 microRNA precursor
RF04292	3	mir-379 microRNA precursor family
RF04191	3	Hairpin ribozyme 2 from viruses-like metatranscriptomes
RF04178	3	Bacteroides sRNA BTnc005
RF04136	3	MIR1862 microRNA precursor family
RF03692	3	MIR827 microRNA precursor family
RF03627	3	mir-9168 microRNA precursor family
RF03565	3	mir-1282 microRNA precursor family
RF03158	3	L31-Actinobacteria ribosomal protein leader
RF03130	3	L19-Flavobacteria ribosomal protein leader
RF03059	3	raiA-hairpin RNA
RF03058	3	sul1 RNA
RF02946	3	cow-rumen-1 RNA
RF02925	3	6A RNA
RF02905	3	Archaeal Small RNA 41
RF02888	3	Bacillus sRNA 1
RF02855	3	Yersinia sRNA 251
RF02628	3	Hfq-regulated sRNA 1
RF02544	3	Mitochondrion-encoded tmRNA
RF02534	3	Norovirus cis-acting replication element (CRE)
RF02283	3	Tetrahymena snoRNA TtnuCD6
RF02266	3	XIST 3' intron conserved motif
RF02227	3	Proteobacterial sRNA sX8
RF02203	3	WT1 antisense RNA conserved region 1
RF02193	3	T-cell leukemia/lymphoma 6 conserved region 3
RF02166	3	Pvt1 oncogene conserved region 3
RF02136	3	HTT antisense RNA 1 conserved region 3
RF01861	3	Trypanosomatid snoRNA TB9Cs1H1
RF01835	3	ribosomal frameshift site
RF01804	3	Lambda phage CIII thermoregulator element
RF01719	3	Pseudomon-1/ErsA RNA
RF01620	3	Nematode snoRNA ceN125
RF01560	3	Dictyostelium snoRNA DdR10
